stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000271,271,O'Connell Street Lower,,53.348596,-6.259485,,,,
8220DB000273,273,O'Connell Bridge,,53.347247,-6.258819,,,,
8220DB000274,274,O'Connell Street Upper,,53.3503490838222,-6.26072086862175,,,,
8220DB000276,276,River Road,,53.377402,-6.331797,,,,
8220DB000277,277,O'Connell Street Upper,,53.350822325818,-6.26050631978692,,,,
8220DB000278,278,O'Connell Street Upper,,53.351561,-6.261227,,,,
8220DB000279,279,O'Connell Street Upper,,53.350132,-6.26061,,,,
8220DB000281,281,O'Connell Street Upper,,53.351343,-6.261116,,,,
8220DB000284,284,Rathbourne Avenue,,53.377283,-6.328389,,,,
8220DB000286,286,Cathal Brugha Street,,53.352171,-6.259911,,,,
8220DB000288,288,Irish Life,,53.349169,-6.255602,,,,
8220DB000289,289,Abbey Street,,53.349035,-6.256298,,,,
8220DB000292,292,Abbey Street Lower,,53.3492,-6.255255,,,,
8220DB000297,297,Eden Quay,,53.3481432679358,-6.25677012601713,,,,
8220DB000298,298,Eden Quay,,53.348201,-6.256392,,,,
8220DB000299,299,Eden Quay,,53.348242,-6.256135,,,,
8220DB000300,300,Eden Quay,,53.348299,-6.255757,,,,
8220DB000301,301,Eden Quay,,53.347988,-6.256626,,,,
8220DB000302,302,Eden Quay,,53.348038,-6.256339,,,,
8220DB000303,303,Eden Quay,,53.34806,-6.255992,,,,
8220DB000307,307,O'Donovan Road,,53.334577,-6.280087,,,,
8220DB000308,308,Oscar Square,,53.336771,-6.279534,,,,
8220DB000309,309,Ardee Street,,53.33784,-6.27895,,,,
8220DB000312,312,Wellington Quay,,53.3454764728264,-6.2662061554843,,,,
8220DB000315,315,Bachelors Walk,,53.347028,-6.261667,,,,
8220DB000317,317,Westmoreland Street,,53.3465259444496,-6.25926936624482,,,,
8220DB000319,319,Westmoreland Street,,53.34622,-6.25929,,,,
8220DB000320,320,Westmoreland Street,,53.3456456323889,-6.25930523253448,,,,
8220DB000322,322,Gulliver's Retail Park,,53.4042549924644,-6.26535084532186,,,,
8220DB000325,325,Aston Quay,,53.3466970502533,-6.2599082595371,,,,
8220DB000328,328,Aston Quay,,53.346333,-6.26144,,,,
8220DB000329,329,Aston Quay,,53.346274,-6.261683,,,,
8220DB000333,333,D'Olier Street,,53.346692,-6.258346,,,,
8220DB000334,334,D'Olier Street,,53.346581,-6.258126,,,,
8220DB000335,335,D'Olier Street,,53.346361,-6.257849,,,,
8220DB000336,336,D'Olier Street,,53.346252,-6.257719,,,,
8220DB000340,340,Townsend Street,,53.345975,-6.256017,,,,
8220DB000345,345,Pearse Street Garda Station,,53.345476,-6.256293,,,,
8220DB000350,350,Lombard Street East,,53.345632,-6.249768,,,,
8220DB000351,351,Erne Street,,53.3434182647907,-6.24530817378361,,,,
8220DB000352,352,Pearse Square,,53.342989,-6.242412,,,,
8220DB000353,353,Grand Canal Quay,,53.342645,-6.239798,,,,
8220DB000354,354,Ringsend Road,,53.3422358280174,-6.2364356898267,,,,
8220DB000355,355,Ringsend Depot,,53.341817,-6.233059,,,,
8220DB000356,356,Ringsend Village,,53.341903,-6.226717,,,,
8220DB000357,357,Irishtown Road,,53.339171,-6.223122,,,,
8220DB000358,358,Sean Moore Road,,53.339027,-6.21709,,,,
8220DB000369,369,Sean Moore Road,,53.340791,-6.212528,,,,
8220DB000371,371,Irishtown Road,,53.338613,-6.223055,,,,
8220DB000372,372,Star of the Sea,,53.3354881469499,-6.21965567144901,,,,
8220DB000373,373,Farney Park,,53.3342753312713,-6.21788927259654,,,,
8220DB000374,374,Sandymount,,53.3332284399006,-6.21640134211922,,,,
